2026-09-07T17:39:29.2907493Z	1	1	
2026-09-07T17:39:30.4675036Z	1	1	
2026-09-07T17:39:31.5996888Z	1	1	
2026-09-07T17:39:32.7110967Z	1	1	
2026-09-07T17:39:33.8379072Z	1	1	
2026-09-07T17:39:34.9505224Z	1	1	
2026-09-07T17:39:36.0657418Z	1	1	
2026-09-07T17:39:37.1940252Z	1	1	
2026-09-07T17:39:38.3096605Z	1	1	
2026-09-07T17:39:39.4207939Z	1	1	
2026-09-07T17:39:40.5376601Z	1	1	
2026-09-07T17:39:41.6504011Z	1	1	
2026-09-07T17:39:42.7672467Z	1	1	
2026-09-07T17:39:43.8781669Z	1	1	
2026-09-07T17:39:44.9953971Z	1	1	
2026-09-07T17:39:46.1080729Z	1	1	
2026-09-07T17:39:47.2080247Z	0	1	
2026-09-07T17:39:48.3811451Z	0	1	
2026-09-07T17:39:49.4950875Z	0	1	
