2026-09-07T16:35:35.4426694Z	1	1	
2026-09-07T16:35:36.6370947Z	1	1	
2026-09-07T16:35:37.7571103Z	1	1	
2026-09-07T16:35:38.8708469Z	1	1	
2026-09-07T16:35:39.9945237Z	1	1	
2026-09-07T16:35:41.1107935Z	1	1	
2026-09-07T16:35:42.2208290Z	1	1	
2026-09-07T16:35:43.3481560Z	1	1	
2026-09-07T16:35:44.4659242Z	1	1	
2026-09-07T16:35:45.5968272Z	1	1	
2026-09-07T16:35:46.7134480Z	1	1	
2026-09-07T16:35:47.8325004Z	1	1	
2026-09-07T16:35:48.9513956Z	1	1	
2026-09-07T16:35:50.0670604Z	1	1	
2026-09-07T16:35:51.1703365Z	-1	-1	WebException:Timeout
2026-09-07T16:35:55.2017550Z	-1	-1	WebException:ConnectFailure
2026-09-07T16:35:58.4762393Z	-1	-1	WebException:ConnectFailure
2026-09-07T16:36:01.7120369Z	1	1	
2026-09-07T16:36:02.8236160Z	1	1	
2026-09-07T16:36:03.9555548Z	1	1	
2026-09-07T16:36:05.0695525Z	1	1	
2026-09-07T16:36:06.1911496Z	1	1	
