2026-09-07T18:03:42.2399843Z	1	1	
2026-09-07T18:03:43.4084004Z	1	1	
2026-09-07T18:03:44.5368561Z	1	1	
2026-09-07T18:03:45.6507690Z	1	1	
2026-09-07T18:03:46.7625502Z	1	1	
2026-09-07T18:03:47.8891103Z	1	1	
2026-09-07T18:03:49.0018795Z	1	1	
2026-09-07T18:03:50.1338314Z	1	1	
2026-09-07T18:03:51.2634248Z	1	1	
2026-09-07T18:03:52.3808731Z	1	1	
2026-09-07T18:03:53.4984072Z	1	1	
2026-09-07T18:03:54.6243837Z	1	1	
2026-09-07T18:03:55.7413497Z	1	1	
2026-09-07T18:03:56.8567738Z	1	1	
2026-09-07T18:03:57.9747502Z	1	1	
2026-09-07T18:03:59.0898492Z	1	1	
2026-09-07T18:04:00.2083774Z	1	1	
2026-09-07T18:04:01.3436803Z	1	1	
2026-09-07T18:04:02.4597062Z	1	1	
2026-09-07T18:04:03.5891019Z	1	1	
2026-09-07T18:04:04.7329639Z	0	1	
2026-09-07T18:04:05.8472600Z	0	1	
2026-09-07T18:04:06.9632533Z	1	1	
2026-09-07T18:04:08.1121642Z	1	1	
2026-09-07T18:04:09.2244582Z	1	1	
2026-09-07T18:04:10.3563287Z	1	1	
2026-09-07T18:04:11.4742982Z	1	1	
2026-09-07T18:04:12.5924257Z	1	1	
2026-09-07T18:04:13.7119288Z	1	1	
2026-09-07T18:04:14.8259920Z	1	1	
2026-09-07T18:04:15.9464046Z	1	1	
2026-09-07T18:04:17.1165600Z	1	1	
2026-09-07T18:04:18.2301685Z	1	1	
2026-09-07T18:04:19.3448312Z	1	1	
2026-09-07T18:04:20.4548172Z	1	1	
2026-09-07T18:04:21.5707618Z	1	1	
2026-09-07T18:04:22.7030136Z	1	1	
2026-09-07T18:04:23.8213897Z	1	1	
2026-09-07T18:04:24.9465878Z	1	1	
2026-09-07T18:04:26.0748293Z	1	1	
2026-09-07T18:04:27.2003778Z	1	1	
2026-09-07T18:04:28.3163137Z	1	1	
2026-09-07T18:04:29.4465650Z	1	1	
2026-09-07T18:04:30.5635473Z	0	1	
2026-09-07T18:04:31.7051205Z	1	1	
2026-09-07T18:04:32.8359819Z	1	1	
2026-09-07T18:04:33.9540444Z	1	1	
2026-09-07T18:04:35.0619522Z	1	1	
2026-09-07T18:04:36.1785211Z	1	1	
2026-09-07T18:04:37.2940246Z	1	1	
